participant_num,participant_id,response_value,question,stim_type,condition,nonphon_err_details,phon_err_details,err_reported,err_reported_num,err_type_response,no_err_response,comments,coder,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,The question does NOT need any corrections.,how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,nans,,,a,attention check failed (5/8 correct),JB_1107,"coder note: I put 'otherp', 'othernp', 'otherirr', etc. for errors reported on filler trials as discussed in training meeting"
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,4,how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,,,,,,,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,The question does NOT need any corrections.,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,nans,,,a,,JB_1107,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,California,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,,,,,,,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,The question does NOT need any corrections.,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,nans,,,a,,JB_1107,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,Tuesday,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,,,,,,,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,The question does NOT need any corrections.,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,nans,,,a,,JB_1107,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,yellow,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,,,,,,,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,The question does NOT need any corrections.,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,nans,,acheckf,,,JB_1107,
25,86186993cadd124e4cf2905d5bbf282efc4798032fc759c080f69f5df44c4853,Spring,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,,,,,,,
