participant_num,participant_id,response_value,question ,stim_type,condition,nonphon_err_details,phon_err_details,answer,err_reported,err_reported_attempt,err_type_response,no_err_response,comments,notes,coder
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,Tuesday,nans,first,,a,attention check passed (8/8 correct),,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,tuesday,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,Tuesday,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,Tuesday,s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_day_of_the_week_comes_after_monday_fill_27.wav,att_check_good,NA,NA,NA,Tuesday,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,nans,first,,a,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,yellow,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_color_is_a_typical_school_bus_fill_28.wav,att_check_good,NA,NA,NA,yellow,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,nans,first,,a,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,california,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_state_is_los_angeles_located_in_fill_26.wav,att_check_good,NA,NA,NA,California,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",y,first,acheckp,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"correct grammar should be ""after winter""; spring",in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,in_the_cycle_of_seasons_what_season_comes_after_dinter_fill_29.wav,att_check_err,NA,NA,NA,"Spring (Winter, sound sub that's not related)",,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),y,first,acheckp,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"correct grammar should be ""planet"" and not ""plant""; sun",what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_is_the_largest_plant_in_the_solar_system_fill_31.wav,att_check_err,NA,NA,NA,Jupiter (planet),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),y,first,acheckp,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"correct grammar should be ""butterfly"" instead of ""butterfry""; caterpillar",what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_insect_undergoes_a_process_of_change_to_turn_into_a_butterfy_fill_30.wav,att_check_err,NA,NA,NA,caterpillar (butterfly),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),y,first,acheckp,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"correct grammar should be ""members"" instead of ""embers""; 4 beatles",how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,how_many_embers_were_in_the_beatles_the_british_rock_band_fill_32.wav,att_check_err,NA,NA,NA,four (members),,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,four,y,first,,a,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"correct grammar should be ""legs"" and not ""licks""; 4 legs",how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,four,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,four,s,secsame,,,,,JB_1204
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,how_many_legs_does_a_dog_normally_have_fill_25.wav,att_check_good,NA,NA,NA,four,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"The question needs to be CORRECTED (Select this if you spot an error, even if you don’t know the answer).",what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,"""That's one small step for man, one giant leap for mankind.""",y,first,p,,also mentioned otherp,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,"""Nail"" should be ""Neil"", ""berry"" should be ""very""; I don't know",what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,"""That's one small step for man, one giant leap for mankind.""",,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,"""That's one small step for man, one giant leap for mankind.""",s,secsame,,,,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_neil_armstrong_say_during_his_berry_first_steps_on_the_moon_targ_04_D.wav,target,both_err,no aux verbs in questions (lack of do support),/v/ --> /b/; very/berry,"""That's one small step for man, one giant leap for mankind.""",,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,Halloween,nans,first,,a,,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,halloween,what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,Halloween,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,Halloween,s,secsame,,,,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,what_holiday_occurs_at_the_end_of_october_and_features_trick-or-treating_pumpkins_and_haunted_houses_fill_07.wav,filler_other,NA,NA,NA,Halloween,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,ear,nans,first,,a,,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,ear,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,ear,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,I’m good — skip to the next question,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,ear,s,secsame,,,,,FB_1205
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,NA,which_body_part_did_van_gogh_allegedly_cut_off_after_an_argument_with_his_friend_fill_05.wav,filler_other,NA,NA,NA,ear,,,,,,,
16,436498e5af3776e164fe3dfb37cad36c095d34ba0cf917ade4f7519ffcb5cf12,The question does NOT need any corrections.,which_oscar-winning_movie_features_tom_hanks_saying_life_is_like_a_box_of_chocolates_fill_12.wav,filler_other,NA,NA,NA,Forrest Gump,nans,first,,a,,,FB_1205
